date,N
2013-01-02,0
2013-01-09,0
2013-01-16,0
2013-01-23,0
2013-01-30,0
2013-02-06,0
2013-02-13,0
2013-02-20,0
2013-02-27,2
2013-03-06,2
2013-03-13,2
2013-03-20,1
2013-03-27,2
2013-04-03,0
2013-04-10,1
2013-04-17,4
2013-04-24,5
2013-05-01,7
2013-05-08,8
2013-05-15,4
2013-05-22,13
2013-05-29,11
2013-06-05,11
2013-06-12,21
2013-06-19,16
2013-06-26,15
2013-07-03,23
2013-07-10,18
2013-07-17,15
2013-07-24,18
2013-07-31,17
2013-08-07,11
2013-08-14,11
2013-08-21,15
2013-08-28,12
2013-09-04,10
2013-09-11,8
2013-09-18,6
2013-09-25,16
2013-10-02,9
2013-10-09,12
2013-10-16,11
2013-10-23,3
2013-10-30,2
2013-11-06,1
2013-11-13,1
2013-11-20,0
2013-11-27,0
2013-12-04,0
2013-12-11,0
2013-12-18,0
2013-12-25,0
2014-01-01,0
2014-01-08,0
2014-01-15,0
2014-01-22,0
2014-01-29,0
2014-02-05,0
2014-02-12,1
2014-02-19,0
2014-02-26,0
2014-03-05,0
2014-03-12,0
2014-03-19,0
2014-03-26,0
2014-04-02,2
2014-04-09,1
2014-04-16,1
2014-04-23,2
2014-04-30,1
2014-05-07,1
2014-05-14,3
2014-05-21,5
2014-05-28,9
2014-06-04,14
2014-06-11,15
2014-06-18,29
2014-06-25,31
2014-07-02,23
2014-07-09,29
2014-07-16,35
2014-07-23,23
2014-07-30,41
2014-08-06,36
2014-08-13,18
2014-08-20,29
2014-08-27,24
2014-09-03,21
2014-09-10,9
2014-09-17,20
2014-09-24,18
2014-10-01,9
2014-10-08,18
2014-10-15,13
2014-10-22,6
2014-10-29,3
2014-11-05,2
2014-11-12,0
2014-11-19,0
2014-11-26,1
2014-12-03,0
2014-12-10,0
2014-12-17,2
2014-12-24,3
2014-12-31,4
2015-01-07,0
2015-01-14,0
2015-01-21,0
2015-01-28,3
2015-02-04,0
2015-02-11,0
2015-02-18,0
2015-02-25,0
2015-03-04,0
2015-03-11,0
2015-03-18,2
2015-03-25,4
2015-04-01,5
2015-04-08,3
2015-04-15,3
2015-04-22,12
2015-04-29,10
2015-05-06,16
2015-05-13,13
2015-05-20,27
2015-05-27,19
2015-06-03,19
2015-06-10,20
2015-06-17,35
2015-06-24,24
2015-07-01,36
2015-07-08,31
2015-07-15,37
2015-07-22,26
2015-07-29,23
2015-08-05,29
2015-08-12,29
2015-08-19,23
2015-08-26,27
